State,StateAbb,StateAb,2016USSENATE,2016GOV,2016EV,EVChange,RepWins,DemWins,2012DemEV,2012RepEV,2012DemWin,2012RepWin,2012TotalVote,2012Margin,2012%Margin,2012Obama%,2012Romney%,2012Other%,2012ObamaVote,2012RomneyVote,2012Othervote,2008DemEV,2008RepEV,2008DemWin,2008RepWin,2008TotalVote,2008Margin,2008%Margin,2008Obama%,2008McCain%,2008Other%,2008ObamaVote,2008McCainVote,2008Othervote,2004RepEV,2004DemEV,2004RepWin,2004DemWin,2004TotalVote,2004Margin,2004%Margin,2004Bush%,2004Kerry%,2004Other%,2004BushVote,2004KerryVote,2004Othervote,2000RepEv,2000DemEV,2000TotalVote,2000RepWin,2000DemWin,2000GreWin,2000Margin,2000Margin%,2000Gore%,2000Bush%,2000Nader%,2000Other%,2000GoreAV,2000BushVote,2000NaderVote,2000Other
Florida,Fla.,FL,R,,29,2,2,2,29,0,1,0,8492175,74309,0.0088,0.4990,0.4903,0.0107,4237756,4163447,90972,27,0,1,0,8412248,236148,0.0281,0.5091,0.4810,0.0099,4282367,4046219,83662,27,0,1,0,7609810,380978,0.0501,0.5210,0.4709,0.0081,3964522,3583544,61744,25,0,5963110,1,0,0,537,0.0001,0.4884,0.4885,0.0163,0.0068,2912253,2912790,97488,40579
North Carolina,N.C.,NC,R,R,15,0,3,1,0,15,0,1,4505372,92004,0.0204,0.4835,0.5039,0.0126,2178391,2270395,56586,15,0,1,0,4310789,14177,0.0033,0.4970,0.4938,0.0092,2142651,2128474,39664,15,0,1,0,3501007,435317,0.1243,0.5602,0.4358,0.0040,1961166,1525849,13992,14,0,2911262,1,0,0,373471,0.1283,0.4320,0.5603,0.0000,0.0077,1257692,1631163,0,22407
Ohio,Ohio,OH,R,,18,-2,2,2,18,0,1,0,5590934,166272,0.0297,0.5058,0.4760,0.0182,2827709,2661437,101788,20,0,1,0,5721831,262224,0.0458,0.5138,0.4680,0.0182,2940044,2677820,103967,20,0,1,0,5627908,118601,0.0211,0.5081,0.4871,0.0048,2859768,2741167,26973,21,0,4705457,1,0,0,165019,0.0351,0.4646,0.4997,0.0250,0.0107,2186190,2351209,117857,50201
Virginia,Va.,VA,,,13,0,2,2,13,0,1,0,3854489,149298,0.0387,0.5116,0.4728,0.0156,1971820,1822522,60147,13,0,1,0,3723260,234527,0.063,0.5263,0.4633,0.0104,1959532,1725005,38723,13,0,1,0,3198367,262217,0.082,0.5368,0.4548,0.0083,1716959,1454742,26666,13,0,2739447,1,0,0,220200,0.0804,0.4444,0.5247,0.0217,0.0092,1217290,1437490,59398,25269
Colorado,Colo.,CO,D,,9,0,2,2,9,0,1,0,2571846,137859,0.0536,0.5145,0.4609,0.0247,1323102,1185243,63501,9,0,1,0,2401462,215004,0.0895,0.5366,0.4471,0.0163,1288633,1073629,39200,9,0,1,0,2130325,99531,0.0467,0.5169,0.4702,0.0128,1101256,1001725,27344,8,0,1741365,1,0,0,145518,0.0836,0.4239,0.5075,0.0525,0.0161,738227,883745,91434,27959
Pennsylvania,Pa.,PA,R,,20,-1,0,4,20,0,1,0,5754939,309840,0.0538,0.5196,0.4658,0.0146,2990274,2680434,84231,21,0,1,0,6015476,620478,0.1031,0.5447,0.4415,0.0138,3276363,2655885,83228,0,21,0,1,5769590,144248,0.025,0.4842,0.5092,0.0065,2793847,2938095,37648,0,23,4913119,0,1,0,204840,0.0417,0.5060,0.4643,0.0210,0.0087,2485967,2281127,103392,42633
New Hampshire,N.H.,NH,R,D ,4,0,1,3,4,0,1,0,710972,39643,0.0558,0.5198,0.4640,0.0162,369561,329918,11493,4,0,1,0,710970,68292,0.0961,0.5413,0.4452,0.0135,384826,316534,9610,0,4,0,1,677738,9274,0.0137,0.4887,0.5024,0.0088,331237,340511,5990,4,0,569081,1,0,0,7211,0.0127,0.4680,0.4807,0.0390,0.0123,266348,273559,22198,6976
Iowa,Iowa,IA,R,,6,-1,1,3,6,0,1,0,1582180,91927,0.0581,0.5199,0.4618,0.0183,822544,730617,29019,7,0,1,0,1537123,146561,0.0953,0.5393,0.4439,0.0168,828940,682379,25804,7,0,1,0,1506908,10059,0.0067,0.4990,0.4923,0.0087,751957,741898,13053,0,7,1315563,0,1,0,4144,0.0031,0.4854,0.4822,0.0223,0.0101,638517,634373,29374,13299
Nevada,Nev.,NV,D,,6,1,2,2,6,0,1,0,1014918,67806,0.0668,0.5236,0.4568,0.0197,531373,463567,19978,5,0,1,0,967848,120909,0.1249,0.5515,0.4265,0.0220,533736,412827,21285,5,0,1,0,829587,21500,0.0259,0.5047,0.4788,0.0165,418690,397190,13707,4,0,608970,1,0,0,21597,0.0355,0.4598,0.4952,0.0246,0.0204,279978,301575,15008,12409
Wisconsin,Wis.,WI,R,,10,0,0,4,10,0,1,0,3068434,213019,0.0694,0.5283,0.4589,0.0129,1620985,1407966,39483,10,0,1,0,2983417,414818,0.139,0.5622,0.4231,0.0147,1677211,1262393,43813,0,10,0,1,2997007,11384,0.0038,0.4932,0.4970,0.0098,1478120,1489504,29383,0,11,2598607,0,1,0,5708,0.0022,0.4783,0.4761,0.0362,0.0093,1242987,1237279,94070,24271
Minnesota,Minn.,MN,,,10,0,0,4,10,0,1,0,2936561,225942,0.0769,0.5265,0.4496,0.0239,1546167,1320225,70169,10,0,1,0,2910369,297945,0.1024,0.5406,0.4382,0.0212,1573354,1275409,61606,0,9,0,1,2828387,98319,0.0348,0.4761,0.5109,0.0130,1346695,1445014,36678,0,10,2438685,0,1,0,58607,0.024,0.4791,0.4550,0.0520,0.0140,1168266,1109659,126696,34064
Georgia,Ga.,GA,R,,16,1,4,0,0,16,0,1,3908369,304861,0.078,0.4539,0.5319,0.0143,1773827,2078688,55854,0,15,0,1,3932158,204636,0.052,0.4690,0.5210,0.0100,1844123,2048759,39276,15,0,1,0,3304481,548105,0.1659,0.5793,0.4134,0.0073,1914254,1366149,24078,13,0,2596804,1,0,0,303490,0.1169,0.4298,0.5467,0.0052,0.0183,1116230,1419720,13432,47422
Arizona,Ariz.,AZ,R,,11,1,4,0,0,11,0,1,2306559,208422,0.0904,0.4445,0.5348,0.0207,1025232,1233654,47673,0,10,0,1,2303838,195404,0.0848,0.4491,0.5339,0.0169,1034707,1230111,39020,10,0,1,0,2016102,210770,0.1045,0.5477,0.4432,0.0091,1104294,893524,18284,8,0,1534113,1,0,0,96311,0.0628,0.4467,0.5095,0.0298,0.0140,685341,781652,45645,21475
Missouri,Mo.,MO,R,D ,10,-1,4,0,0,10,0,1,2763689,258644,0.0936,0.4428,0.5364,0.0208,1223796,1482440,57453,0,11,0,1,2929111,3903,0.0013,0.4923,0.4936,0.0141,1441911,1445814,41386,11,0,1,0,2731364,196542,0.072,0.5330,0.4610,0.0060,1455713,1259171,16480,11,0,2359892,1,0,0,78786,0.0334,0.4708,0.5042,0.0163,0.0086,1111138,1189924,38515,20315
Michigan,Mich.,MI,,,16,-1,0,4,16,0,1,0,4745316,449313,0.0947,0.5404,0.4458,0.0138,2564569,2115256,65491,17,0,1,0,5010606,823940,0.1644,0.5733,0.4089,0.0178,2872579,2048639,89388,0,17,0,1,4839252,165437,0.0342,0.4781,0.5123,0.0096,2313746,2479183,46323,0,18,4232711,0,1,0,217279,0.0513,0.5128,0.4614,0.0199,0.0059,2170418,1953139,84165,24989
New Mexico,N.M.,NM,,,5,0,1,3,5,0,1,0,783757,79547,0.1015,0.5299,0.4284,0.0416,415335,335788,32634,5,0,1,0,830158,125590,0.1513,0.5691,0.4178,0.0131,472422,346832,10904,5,0,1,0,756304,5988,0.0079,0.4984,0.4905,0.0111,376930,370942,8432,0,5,598605,0,1,0,366,0.0006,0.4791,0.4785,0.0355,0.0069,286783,286417,21251,4154
Indiana,Ind.,IN,R,R ,11,0,3,1,0,11,0,1,2633143,268597,0.102,0.4384,0.5404,0.0213,1154275,1422872,55996,11,0,1,0,2756658,28391,0.0103,0.4984,0.4881,0.0134,1374039,1345648,36971,11,0,1,0,2468002,510427,0.2068,0.5994,0.3926,0.0079,1479438,969011,19553,12,0,2199302,1,0,0,343856,0.1563,0.4101,0.5665,0.0084,0.0150,901980,1245836,18531,32955
South Carolina,S.C.,SC,R,,9,1,4,0,0,9,0,1,1964118,205704,0.1047,0.4409,0.5456,0.0135,865941,1071645,26532,0,8,0,1,1920969,172447,0.0898,0.4490,0.5387,0.0123,862449,1034896,23624,8,0,1,0,1617730,276275,0.1708,0.5798,0.4090,0.0112,937974,661699,18057,8,0,1383777,1,0,0,220387,0.1593,0.4091,0.5683,0.0147,0.0080,566039,786426,20279,11033
Mississippi,Miss.,MS,,,6,0,4,0,0,6,0,1,1285584,147797,0.115,0.4379,0.5529,0.0092,562949,710746,11889,0,6,0,1,1289939,169935,0.1317,0.4300,0.5617,0.0083,554662,724597,10680,6,0,1,0,1152365,226887,0.1969,0.5944,0.3975,0.0081,684981,458094,9290,7,0,994926,1,0,0,168266,0.1691,0.4070,0.5762,0.0082,0.0086,404964,573230,8126,8606
Oregon,Ore.,OR,D,,7,0,0,4,7,0,1,0,1789270,216313,0.1209,0.5424,0.4215,0.0361,970488,754175,64607,7,0,1,0,1827864,298816,0.1635,0.5675,0.4040,0.0285,1037291,738475,52098,0,7,0,1,1836782,76332,0.0416,0.4719,0.5135,0.0146,866831,943163,26788,0,7,1533968,0,1,0,6765,0.0044,0.4696,0.4652,0.0504,0.0148,720342,713577,77357,22692
Montana,Mont.,MT,,D,3,0,4,0,0,3,0,1,484484,66089,0.1364,0.4166,0.5530,0.0304,201839,267928,14717,0,3,0,1,492750,11723,0.0238,0.4711,0.4949,0.0339,232159,243882,16709,3,0,1,0,450445,92353,0.205,0.5907,0.3856,0.0237,266063,173710,10672,3,0,410997,1,0,0,103052,0.2507,0.3336,0.5844,0.0595,0.0225,137126,240178,24437,9256
Alaska,Alaska,AK,R,,3,0,4,0,0,3,0,1,300495,42036,0.1399,0.4081,0.5480,0.0439,122640,164676,13179,0,3,0,1,326197,70247,0.2154,0.3789,0.5942,0.0269,123594,193841,8762,3,0,1,0,312598,79864,0.2555,0.6107,0.3552,0.0342,190889,111025,10684,3,0,285560,1,0,0,88394,0.3095,0.2767,0.5862,0.1007,0.0365,79004,167398,28747,10411
Washington,Wash.,WA,D,D,12,1,0,4,12,0,1,0,3145958,464726,0.1477,0.5580,0.4103,0.0318,1755396,1290670,99892,11,0,1,0,3053261,521632,0.1708,0.5734,0.4026,0.0240,1750848,1229216,73197,0,11,0,1,2861713,205307,0.0717,0.4560,0.5277,0.0163,1304894,1510201,46618,0,11,2488745,0,1,0,138788,0.0558,0.5013,0.4456,0.0414,0.0117,1247652,1108864,103002,29227
Maine,Maine,ME,,,4,0,0,4,4,0,1,0,713180,109030,0.1529,0.5627,0.4098,0.0275,401306,292276,19598,4,0,1,0,731163,126650,0.1732,0.5771,0.4038,0.0191,421923,295273,13967,0,4,0,1,740752,66641,0.09,0.4458,0.5357,0.0185,330201,396842,13709,0,4,651817,0,1,0,33335,0.0511,0.4909,0.4397,0.0570,0.0125,319951,286616,37127,8123
Texas,Tex.,TX,,,38,4,4,0,0,38,0,1,7999532,1261719,0.1577,0.4135,0.5713,0.0152,3308124,4569843,121565,0,34,0,1,8087791,950695,0.1175,0.4363,0.5538,0.0099,3528633,4479328,79830,34,0,1,0,7410765,1694213,0.2286,0.6109,0.3822,0.0069,4526917,2832704,51144,32,0,6407637,1,0,0,1365893,0.2132,0.3798,0.5930,0.0215,0.0057,2433746,3799639,137994,36258
Illinois,Ill.,IL,R,,20,-1,0,4,20,0,1,0,5251432,884296,0.1684,0.5750,0.4066,0.0184,3019512,2135216,96704,21,0,1,0,5530179,1388169,0.251,0.6183,0.3673,0.0144,3419348,2031179,79652,0,21,0,1,5274322,545604,0.1034,0.4448,0.5482,0.0070,2345946,2891550,36826,0,22,4742123,0,1,0,569605,0.1201,0.5460,0.4258,0.0219,0.0063,2589026,2019421,103759,29917
Louisiana,La.,LA,R,,8,-1,4,0,0,8,0,1,1994065,343121,0.1721,0.4058,0.5778,0.0164,809141,1152262,32662,0,9,0,1,1960761,365286,0.1863,0.3993,0.5856,0.0150,782989,1148275,29497,9,0,1,0,1943106,281870,0.1451,0.5672,0.4222,0.0106,1102169,820299,20638,9,0,1765656,1,0,0,135527,0.0768,0.4488,0.5255,0.0116,0.0141,792344,927871,20473,24968
Connecticut,Conn.,CT,D,,7,0,0,4,7,0,1,0,1558993,270210,0.1733,0.5806,0.4072,0.0122,905109,634899,18985,7,0,1,0,1646793,368345,0.2237,0.6059,0.3822,0.0119,997773,629428,19592,0,7,0,1,1578769,163662,0.1037,0.4395,0.5431,0.0174,693826,857488,27455,0,8,1459525,0,1,0,254921,0.1747,0.5591,0.3844,0.0442,0.0123,816015,561094,64452,17964
New Jersey,N.J.,NJ,,,14,-1,0,4,14,0,1,0,3651140,647861,0.1774,0.5825,0.4050,0.0125,2126610,1478749,45781,15,0,1,0,3877407,602215,0.1553,0.5714,0.4161,0.0126,2215422,1613207,48778,0,15,0,1,3612137,241427,0.0668,0.4623,0.5292,0.0085,1670003,1911430,30704,0,15,3187226,0,1,0,504677,0.1583,0.5613,0.4029,0.0297,0.0062,1788850,1284173,94554,19649
South Dakota,S.D.,SD,R,,3,0,4,0,0,3,0,1,363815,65571,0.1802,0.3987,0.5789,0.0224,145039,210610,8166,0,3,0,1,381975,32130,0.0841,0.4475,0.5316,0.0209,170924,203054,7997,3,0,1,0,388215,83340,0.2147,0.5991,0.3844,0.0165,232584,149244,6387,3,0,316269,1,0,0,71896,0.2273,0.3756,0.6030,0.0000,0.0214,118804,190700,0,6765
Delaware,Del.,DE,,D,3,0,0,4,3,0,1,0,413921,77100,0.1863,0.5861,0.3998,0.0141,242584,165484,5853,3,0,1,0,412616,103085,0.2498,0.6191,0.3693,0.0116,255459,152374,4783,0,3,0,1,375270,28492,0.0759,0.4574,0.5334,0.0092,171660,200152,3458,0,3,327622,0,1,0,42780,0.1306,0.5496,0.4190,0.0254,0.0060,180068,137288,8307,1959
North Dakota,N.D.,ND,R,R,3,0,4,0,0,3,0,1,322627,63336,0.1963,0.3869,0.5832,0.0299,124827,188163,9637,0,3,0,1,317738,27484,0.0865,0.4450,0.5315,0.0234,141403,168887,7448,3,0,1,0,312833,85599,0.2736,0.6286,0.3550,0.0164,196651,111052,5130,3,0,288267,1,0,0,79568,0.276,0.3305,0.6066,0.0329,0.0300,95284,174852,9497,8634
Tennessee,Tenn.,TN,,,11,0,4,0,0,11,0,1,2460904,501621,0.2038,0.3904,0.5942,0.0154,960709,1462330,37865,0,11,0,1,2601982,391741,0.1506,0.4179,0.5685,0.0136,1087437,1479178,35367,11,0,1,0,2434949,348176,0.143,0.5681,0.4251,0.0068,1383336,1035160,16453,11,0,2076181,1,0,0,80229,0.0386,0.4728,0.5115,0.0095,0.0061,981720,1061949,19781,12731
Kansas,Kans.,KS,R,,6,0,4,0,0,6,0,1,1156254,249901,0.2161,0.3805,0.5966,0.0230,439908,689809,26537,0,6,0,1,1238873,184890,0.1492,0.4155,0.5648,0.0197,514765,699655,24453,6,0,1,0,1187756,301463,0.2538,0.6200,0.3662,0.0137,736456,434993,16307,6,0,1072216,1,0,0,223056,0.208,0.3724,0.5804,0.0337,0.0135,399276,622332,36086,14522
Nebraska,Nebr.,NE,,,5,0,3,1,0,5,0,1,794379,172983,0.2178,0.3803,0.5980,0.0217,302081,475064,17234,1,4,1,0,801281,119660,0.1493,0.4160,0.5653,0.0187,333319,452979,14983,5,0,1,0,778186,258486,0.3322,0.6590,0.3268,0.0142,512814,254328,11044,5,0,697019,1,0,0,202082,0.2899,0.3325,0.6225,0.0352,0.0098,231780,433862,24540,6837
Alabama,Ala.,AL,R,,9,0,4,0,0,9,0,1,2074338,460229,0.2219,0.3836,0.6055,0.0110,795696,1255925,22717,0,9,0,1,2099819,453067,0.2158,0.3874,0.6032,0.0094,813479,1266546,19794,9,0,1,0,1883449,482461,0.2562,0.6246,0.3684,0.0070,1176394,693933,13122,9,0,1672551,1,0,0,248807,0.1488,0.4159,0.5647,0.0110,0.0085,695602,944409,18349,14191
Kentucky,Ky.,KY,R,,8,0,4,0,0,8,0,1,1798048,407820,0.2268,0.3778,0.6047,0.0175,679370,1087190,31488,0,8,0,1,1827587,296477,0.1622,0.4115,0.5737,0.0149,751985,1048462,27140,8,0,1,0,1796079,356706,0.1986,0.5954,0.3968,0.0077,1069439,712733,13907,8,0,1544187,1,0,0,233594,0.1513,0.4137,0.5650,0.0150,0.0062,638898,872492,23192,9605
California,Calif.,CA,O,,55,0,0,4,55,0,1,0,13055815,3014327,0.2309,0.6016,0.3707,0.0277,7854285,4839958,361572,55,0,1,0,13583083,3262692,0.2402,0.6092,0.3690,0.0219,8274473,5011781,296829,0,55,0,1,12421859,1235659,0.0995,0.4436,0.5430,0.0134,5509826,6745485,166548,0,54,10965856,0,1,0,1293774,0.118,0.5345,0.4165,0.0382,0.0108,5861203,4567429,418707,118517
Massachusetts,Mass.,MA,,,11,-1,0,4,11,0,1,0,3167767,733301,0.2315,0.6067,0.3752,0.0182,1921761,1188460,57546,12,0,1,0,3081069,795244,0.2581,0.6180,0.3599,0.0221,1904098,1108854,68117,0,12,0,1,2912388,732691,0.2516,0.3678,0.6194,0.0129,1071109,1803800,37479,0,12,2702984,0,1,0,737985,0.273,0.5980,0.3250,0.0642,0.0127,1616487,878502,173564,34431
Arkansas,Ark.,AR,R,,6,0,4,0,0,6,0,1,1069468,253335,0.2369,0.3688,0.6057,0.0255,394409,647744,27315,0,6,0,1,1086617,215707,0.1985,0.3886,0.5872,0.0242,422310,638017,26290,6,0,1,0,1054945,102945,0.0976,0.5431,0.4455,0.0115,572898,469953,12094,6,0,921781,1,0,0,50172,0.0544,0.4586,0.5131,0.0146,0.0137,422768,472940,13421,12652
Maryland,Md.,MD,D,,10,0,0,4,10,0,1,0,2707327,705975,0.2608,0.6197,0.3590,0.0213,1677844,971869,57614,10,0,1,0,2631596,669605,0.2544,0.6192,0.3647,0.0161,1629467,959862,42267,0,10,0,1,2386678,309790,0.1298,0.4293,0.5591,0.0115,1024703,1334493,27482,0,10,2025480,0,1,0,331985,0.1639,0.5657,0.4018,0.0265,0.0060,1145782,813797,53768,12133
West Virginia,W.Va.,WV,,O,5,0,4,0,0,5,0,1,672119,179386,0.2669,0.3545,0.6214,0.0241,238269,417655,16195,0,5,0,1,715123,93609,0.1309,0.4249,0.5558,0.0193,303857,397466,13800,5,0,1,0,755887,97237,0.1286,0.5606,0.4320,0.0074,423778,326541,5568,5,0,648124,1,0,0,40978,0.0632,0.4559,0.5192,0.0165,0.0084,295497,336475,10680,5472
Rhode Island,R.I.,RI,,,4,0,0,4,4,0,1,0,446049,122473,0.2746,0.6270,0.3524,0.0206,279677,157204,9168,4,0,1,0,471766,131180,0.2781,0.6286,0.3506,0.0208,296571,165391,9804,0,4,0,1,437134,90714,0.2075,0.3867,0.5942,0.0191,169046,259760,8328,0,4,409112,0,1,0,118953,0.2908,0.6099,0.3191,0.0612,0.0098,249508,130555,25052,3997
New York,N.Y.,NY,D,,29,-2,0,4,29,0,1,0,7081536,1995381,0.2818,0.6335,0.3517,0.0149,4485877,2490496,105163,31,0,1,0,7640948,2052174,0.2686,0.6288,0.3603,0.0109,4804945,2752771,83232,0,31,0,1,7391954,1351713,0.1829,0.4008,0.5836,0.0156,2962567,4314280,115107,0,33,6831178,0,1,0,1708115,0.25,0.6022,0.3522,0.0358,0.0099,4113791,2405676,244398,67313
Idaho,Idaho,ID,R,,4,0,4,0,0,4,0,1,656742,208124,0.3169,0.3240,0.6409,0.0351,212787,420911,23044,0,4,0,1,658454,166572,0.253,0.3591,0.6121,0.0289,236440,403012,19002,4,0,1,0,598447,228137,0.3812,0.6838,0.3026,0.0136,409235,181098,8114,4,0,501621,1,0,0,198300,0.3953,0.2764,0.6717,0.0245,0.0274,138637,336937,12292,13755
Oklahoma,Okla.,OK,R,,7,0,4,0,0,7,0,1,1334872,447778,0.3354,0.3323,0.6677,0.0000,443547,891325,0,0,7,0,1,1462661,457669,0.3129,0.3435,0.6565,0.0000,502496,960165,0,7,0,1,0,1463758,455826,0.3114,0.6557,0.3443,0.0000,959792,503966,0,8,0,1234229,1,0,0,270061,0.2188,0.3843,0.6031,0.0000,0.0127,474276,744337,0,15616
Vermont,Vt.,VT,D,D,3,0,0,4,3,0,1,0,299290,106541,0.356,0.6657,0.3097,0.0246,199239,92698,7353,3,0,1,0,325046,120288,0.3701,0.6746,0.3045,0.0210,219262,98974,6810,0,3,0,1,312309,62887,0.2014,0.3880,0.5894,0.0226,121180,184067,7062,0,3,294308,0,1,0,29247,0.0994,0.5063,0.4070,0.0692,0.0175,149022,119775,20374,5137
Wyoming,Wyo.,WY,,,3,0,4,0,0,3,0,1,249061,101676,0.4082,0.2782,0.6864,0.0354,69286,170962,8813,0,3,0,1,254658,82090,0.3224,0.3254,0.6478,0.0268,82868,164958,6832,3,0,1,0,243428,96853,0.3979,0.6886,0.2907,0.0206,167629,70776,5023,3,0,218351,1,0,0,87466,0.4006,0.2770,0.6776,0.0212,0.0243,60481,147947,4625,5298
Hawaii,Hawaii,HI,D,,4,0,0,4,4,0,1,0,434697,185643,0.4271,0.7055,0.2784,0.0162,306658,121015,7024,4,0,1,0,453568,205305,0.4526,0.7185,0.2658,0.0157,325871,120566,7131,0,4,0,1,429013,37517,0.0874,0.4526,0.5401,0.0073,194191,231708,3114,0,4,367951,0,1,0,67441,0.1833,0.5579,0.3746,0.0588,0.0087,205286,137845,21623,3197
Utah,Utah,UT,R,R,6,1,4,0,0,6,0,1,1020861,488787,0.4788,0.2467,0.7255,0.0279,251813,740600,28448,0,5,0,1,958996,268360,0.2798,0.3417,0.6215,0.0368,327670,596030,35296,5,0,1,0,927844,422543,0.4554,0.7154,0.2600,0.0247,663742,241199,22903,5,0,770754,1,0,0,312043,0.4049,0.2634,0.6683,0.0465,0.0217,203053,515096,35850,16755
D. C.,D.C.,DC,,,3,0,0,4,3,0,1,0,293764,245689,0.8363,0.9091,0.0728,0.0181,267070,21381,5313,3,0,1,0,265853,228433,0.8592,0.9246,0.0653,0.0101,245800,17367,2686,0,3,0,1,227586,181714,0.7984,0.0934,0.8918,0.0148,21256,202970,3360,0,2,201894,0,1,0,153850,0.762,0.8516,0.0895,0.0524,0.0065,171923,18073,10576,1322
